Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-03-23 15:41 (BST),On Demand,Jess King,20,Cycling,Climb,20 min Climb Ride,2020-03-20 15:02 (BST),,,,,,,109,,,
2020-03-24 16:43 (BST),On Demand,Denis Morton,20,Cycling,Intervals,20 min HIIT Ride,2020-03-23 20:00 (BST),,,,,,,100,,,
2020-03-25 16:19 (BST),On Demand,Tunde Oyeneyin,20,Cycling,Intervals,20 min Tabata Ride,2020-03-24 14:32 (BST),,,,,,,113,,,
2020-03-26 16:19 (BST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,2020-03-12 08:49 (BST),,,,,,,110,,,
2020-03-30 16:12 (BST),On Demand,Hannah Frankson,15,Cycling,Intervals,15 min Tabata Ride,2020-03-27 14:07 (BST),,,,,,,1,,,
2020-03-30 16:14 (BST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,2020-03-12 08:49 (BST),,,,,,,,,,
2020-03-30 16:15 (BST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,2020-02-27 09:51 (BST),,,,,,,111,,,
2020-03-31 14:38 (BST),On Demand,Hannah Frankson,20,Cycling,Intervals,20 min HIIT Ride,2020-03-11 08:51 (BST),,,,,,,111,,,
2020-04-03 09:40 (BST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,2020-03-12 08:49 (BST),,,,,,,106,,,
2020-04-06 16:21 (BST),On Demand,Sam Yo,20,Cycling,Intervals,20 min HIIT Ride,2020-03-03 09:50 (BST),,,,,,,109,,,
2020-04-09 12:52 (BST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,2020-03-12 08:49 (BST),,,,,,,108,,,
2020-04-13 10:15 (BST),On Demand,Kendall Toole,20,Cycling,Intervals,20 min Tabata Ride,2020-04-02 15:31 (BST),,,,,,,110,,,
